budget,id,original_language,popularity,release_date,revenue,title,vote_average,vote_count,budget_over_rating
30000000,862,en,21.946943,1995-10-30,373554033.0,toy_story,7.7,5415.0,0.0
65000000,8844,en,17.015539,1995-12-15,262797249.0,jumanji,6.9,2413.0,0.0
0,15602,en,11.7129,1995-12-22,0.0,grumpier_old_men,6.5,92.0,0.0
16000000,31357,en,3.859495,1995-12-22,81452156.0,waiting_to_exhale,6.1,34.0,0.0
0,11862,en,8.387519,1995-02-10,76578911.0,father_of_the_bride_part_ii,5.7,173.0,0.0
60000000,949,en,17.924927,1995-12-15,187436818.0,heat,7.7,1886.0,0.0
58000000,11860,en,6.677277,1995-12-15,0.0,sabrina,6.2,141.0,0.0
0,45325,en,2.561161,1995-12-22,0.0,tom_and_huck,5.4,45.0,0.0
35000000,9091,en,5.23158,1995-12-22,64350171.0,sudden_death,5.5,174.0,0.0
58000000,710,en,14.686036,1995-11-16,352194034.0,goldeneye,6.6,1194.0,0.0
62000000,9087,en,6.318445,1995-11-17,107879496.0,the_american_president,6.5,199.0,0.0
0,12110,en,5.430331,1995-12-22,0.0,dracula:_dead_and_loving_it,5.7,210.0,0.0
0,21032,en,12.140733,1995-12-22,11348324.0,balto,7.1,423.0,0.0
44000000,10858,en,5.092,1995-12-22,13681765.0,nixon,7.1,72.0,0.0
98000000,1408,en,7.284477,1995-12-22,10017322.0,cutthroat_island,5.7,137.0,0.0
52000000,524,en,10.137389,1995-11-22,116112375.0,casino,7.8,1343.0,0.0
16500000,4584,en,10.673167,1995-12-13,135000000.0,sense_and_sensibility,7.2,364.0,0.0
4000000,5,en,9.026586,1995-12-09,4300000.0,four_rooms,6.5,539.0,0.0
30000000,9273,en,8.205448,1995-11-10,212385533.0,ace_ventura:_when_nature_calls,6.1,1128.0,0.0
60000000,11517,en,7.337906,1995-11-21,35431113.0,money_train,5.4,224.0,0.0
30250000,8012,en,12.669608,1995-10-20,115101622.0,get_shorty,6.4,305.0,0.0
0,1710,en,10.701801,1995-10-27,0.0,copycat,6.5,199.0,0.0
50000000,9691,en,11.065939,1995-10-06,30303072.0,assassins,6.0,394.0,0.0
0,12665,en,12.133094,1995-10-27,0.0,powder,6.3,143.0,0.0
3600000,451,en,10.332025,1995-10-27,49800000.0,leaving_las_vegas,7.1,365.0,0.0
0,16420,en,1.845899,1995-12-15,0.0,othello,7.0,33.0,0.0
12000000,9263,en,8.681325,1995-10-20,27400000.0,now_and_then,6.6,91.0,0.0
0,17015,en,2.228434,1995-09-27,0.0,persuasion,7.4,36.0,0.0
18000000,902,fr,9.822423,1995-05-16,1738611.0,the_city_of_lost_children,7.6,308.0,0.0
0,37557,zh,1.100915,1995-04-30,0.0,shanghai_triad,6.5,17.0,0.0
0,9909,en,9.481338,1995-08-11,180000000.0,dangerous_minds,6.4,249.0,0.0
29500000,63,en,12.297305,1995-12-29,168840000.0,twelve_monkeys,7.4,2470.0,0.0
0,78802,fr,0.745542,1996-09-18,0.0,wings_of_courage,6.8,4.0,0.0
30000000,9598,en,14.404764,1995-07-18,254134910.0,babe,6.0,756.0,0.0
0,47018,en,1.493361,1995-11-08,0.0,carrington,6.4,16.0,0.0
11000000,687,en,6.891317,1995-12-29,39363635.0,dead_man_walking,7.3,350.0,0.0
0,139405,en,0.114469,1995-10-20,0.0,across_the_sea_of_time,3.5,2.0,0.0
0,33689,en,7.777735,1995-11-17,0.0,it_takes_two,6.1,149.0,0.0
12000000,9603,en,9.882383,1995-07-19,0.0,clueless,6.9,828.0,0.0
0,34615,en,0.894647,1995-12-15,676525.0,"cry,_the_beloved_country",6.7,13.0,0.0
0,31174,en,4.561387,1995-12-29,0.0,richard_iii,6.9,50.0,0.0
10000000,11443,en,9.87957,1995-10-06,0.0,dead_presidents,6.6,80.0,0.0
19000000,35196,en,10.979269,1995-12-29,0.0,restoration,6.3,30.0,0.0
18000000,9312,en,10.870138,1995-08-18,122195920.0,mortal_kombat,5.4,452.0,0.0
20000000,577,en,10.448481,1995-05-20,21284514.0,to_die_for,6.7,177.0,0.0
10000000,11861,en,4.485958,1995-10-06,23574130.0,how_to_make_an_american_quilt,6.5,38.0,0.0
33000000,807,en,18.45743,1995-09-22,327311859.0,se7en,8.1,5915.0,0.0
55000000,10530,en,13.280069,1995-06-14,346079773.0,pocahontas,6.7,1509.0,0.0
0,8391,en,3.302524,1995-05-05,0.0,when_night_is_falling,5.9,10.0,0.0
6000000,629,en,16.302466,1995-07-19,23341568.0,the_usual_suspects,8.1,3334.0,0.0
0,117164,en,0.595949,1994-11-22,0.0,guardian_angel,6.3,3.0,0.0
15000000,11448,en,15.899134,1995-09-13,6700000.0,mighty_aphrodite,6.7,145.0,0.0
0,49133,it,1.361286,1994-01-01,0.0,lamerica,7.7,11.0,0.0
0,26441,en,5.982764,1995-09-29,0.0,the_big_green,5.2,41.0,0.0
0,97406,en,4.093443,1995-05-19,0.0,georgia,6.1,15.0,0.0
0,124057,en,0.307075,1997-07-08,0.0,kids_of_the_round_table,3.0,1.0,0.0
0,9089,en,8.416802,1995-11-02,17519169.0,home_for_the_holidays,6.3,39.0,0.0
0,11010,it,10.168437,1994-09-22,0.0,the_postman,7.6,181.0,0.0
0,99040,fr,0.120789,1995-09-29,0.0,the_confessional,6.5,2.0,0.0
